"question","answer"
"Milyen előkészületek szükségesek egy klímaberendezés telepítéséhez?","A telepítéshez biztosítani kell az elektromos betáplálást, a megfelelő faláttörést és a helyigényt. A pontos követelményeket a szerelő egyezteti."
"Ki végezheti a klímaberendezés telepítését?","A telepítést kizárólag akkreditált (NKVH engedéllyel rendelkező) szakember végezheti a gyártó előírásai szerint."
"Faláttörés szükséges a friss levegő modul telepítésénél?","Igen, a friss levegő modul telepítése általában faláttörést igényel (110mm), amit a szakember végez."
"Mennyi időt vesz igénybe a telepítés?","A telepítés időtartama típustól függően néhány órát vesz igénybe."
"Milyen biztonsági előírásokat kell betartani a telepítés során?","A villamosbiztonsági előírásokat és a telepítési útmutatót kell követni mindenkor."
"Szükséges-e külön engedély a telepítéshez?","Általában nem, de egyes helyeken helyi előírások, kötelezhetnek engedély megszerzésére."
"Hol találhatók meg egy adott klímaberendezés műszaki adatai?","A klímaberendezések műszaki adatai a gyártó hivatalos weboldalán érhetők el, illetve a berendezések adattábláján."
"Mikor lesz elérhető egy adott klímaberendezés típusa?","Az elérhetőség a készlettől függ. Érdeklődjön ügyfélszolgálatunknál."
"Létezik-e a készülékhez friss levegő modul?","Egyes típusokhoz, mint például az Airy van friss levegő modul. Ellenőrizze a termékoldalon."
"Milyen színváltozatok érhetők el?","A készülékek többféle színben érhetők el, a katalógusban részletesen szerepelnek."
"Milyen energiaosztályba tartozik a készülék?","A készülék energiaosztálya az adatlapján található meg, általában A++ kategóriában."
"Vannak-e intelligens funkciói a készüléknek?","Igen, számos intelligens vezérlési lehetőség található, melyeket a leírás részletez."
"Milyen dokumentumok szükségesek a garanciális ügyintézéshez?","A vásárlási számla, kitöltött jótállási jegy, karbantartások igazolása és telepítő adatai szükségesek."
"Mit tegyek, ha a telepítést végző cég nem tudja megoldani a hibát?","Forduljon ügyfélszolgálatunkhoz a készülék adataival."
"Mennyi ideig tart a garanciális ügyintézés?","A folyamat néhány munkanapot vesz igénybe a probléma jellegétől függően."
"Milyen garanciaidő vonatkozik a készülékre?","A gyártó általában 3+2 év garanciát biztosít a készülékekre. Regisztrációval 10 év kiterjesztett garancia is elérhető, kereskedelmi klímák és kisgépek 3 év garancia."
"Kiterjeszthető-e a garancia?","10 és Garancia regisztráció esetén."
"Mi tartozik a garancia hatálya alá?","Gyártási hibák és rendeltetésszerű használat során felmerülő problémák tartoznak a garanciába."
"Mit jelent, ha hibakód jelenik meg a beltéri egységen?","A hibakód egy műszaki problémára utal, vegye fel a kapcsolatot a szakemberrel."
"Mit tegyek, ha a készülék nem hűt vagy nem fűt megfelelően?","Ellenőrizze a szűrőket, tisztítsa meg, ha szükséges. Hívjon szakembert."
"Hogyan lehet újraindítani a készüléket hiba esetén?","Kapcsolja ki és be a készüléket, ha a hiba fennáll, forduljon szakemberhez."
"Milyen gyakran kell karbantartani a készüléket?","A Garancia feltétele az évi két karbantartás megléte, de ennél lehet több is, ha a telepítő úgy határoz."
